,Title,Author,Rating Count,Review Count,Rating Value,N pag,1st Pub,series,Genres,Awards,Link,minmax_norm_ratings,mean_norm_ratings
0,To Kill a Mockingbird,Harper Lee,4629082,92962,4.28,324.0,1960.0,1,"['Classics', 'Fiction', 'Historical']","['Pulitzer Prize for Fiction (1961)', 'Audie Award for Classic (2007)', 'National Book Award Finalist for Fiction (1961)', 'Alabama Author Award for Fiction (1961)']",https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird,7.705,2.33
1,1984,George Orwell,3250211,72375,4.19,237.0,1949.0,0,"['Classics', 'Fiction', 'Science Fiction']","['Prometheus Hall of Fame Award (1984)', 'Locus Award Nominee for All-Time Best Science Fiction Novel (1987)']",https://www.goodreads.com/book/show/40961427-1984,7.161,1.787
2,The Great Gatsby,F. Scott Fitzgerald,3877685,68965,3.93,200.0,1925.0,0,"['Classics', 'Fiction', 'Academic']",['Grammy Award Nominee for Best Spoken Word Album (2003)'],https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone,5.591,0.216
3,Harry Potter and the Sorcerer's Stone,J.K. Rowling,7281482,115354,4.48,309.0,1997.0,1,"['Fantasy', 'Fiction', 'Young Adult']","[""Mythopoeic Fantasy Award for Children's Literature (2008)"", ""British Book Award for Children's Book of the Year (1998)"", 'Prijs van de Nederlandse Kinderjury for 6-9 jaar en 10-12 jaar (2002)', 'American Booksellers Book Of The Year  Award for Children (1999)', 'Audie Award (2000)', ""West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (2000)"", 'South Carolina Book Award for Junior Book Award (2001)', 'Grand Canyon Reader Award for Teen Book (2000)', 'Charlotte Award (2000)', 'Nene Award (2000)', ""Massachusetts Children's Book Award (2000)"", 'Colorado Blue Spruce Young Adult Book Award (2001)', 'Blue Hen Book Award for Chapter Book (2001)', ""Nevada Young Readers' Award for Young Reader Category (2000)"", 'Golden Archer Award for Middle/Junior High (2000)', 'Indian Paintbrush Book Award (2000)', 'Hotze de Roosprijs (2002)', 'Nestlé Smarties Book Prize for 9–11 years (1997)', 'Eliot Rosewater Indiana High School Book Award (2001)', 'Kinderboekwinkelprijs (1999)', 'Parenting Book of the Year Award (1998)', 'North East Teenage Book Award (1999)', ""Specsavers National Book Award for Children's Book of the Year (1998)"", 'Washington State Sasquatch Award (2000)', 'Literaturpreis der Jury der jungen Leser for Kinderbuch (1999)', 'Carnegie Medal Nominee (1997)', ""Rebecca Caudill Young Readers' Book Award (2001)"", 'Premi Protagonista Jove for Categoria 12-13 anys (2000)']",https://www.goodreads.com/book/show/4671.The_Great_Gatsby,8.913,3.538
4,"The Hobbit, or There and Back Again",J.R.R. Tolkien,2973224,49547,4.28,366.0,1937.0,1,"['Fantasy', 'Classics', 'Fiction']","['Keith Barker Millennium Book Award', 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (1997)', 'Mythopoeic Scholarship Award for Inklings Studies (1990)']",https://www.goodreads.com/book/show/170448.Animal_Farm,7.705,2.33
5,Animal Farm,George Orwell,2823982,57987,3.95,141.0,1945.0,0,"['Classics', 'Fiction', 'Science Fiction']","['Prometheus Hall of Fame Award (2011)', 'Retro Hugo Award for Best Novella (1996)']",https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again,5.711,0.337
6,The Diary of a Young Girl,Anne Frank,2831501,29790,4.16,283.0,1947.0,0,"['Nonfiction', 'Classics', 'History']",['Luisterboek Award Nominee (2008)'],https://www.goodreads.com/book/show/48855.The_Diary_of_a_Young_Girl,6.98,1.606
7,The Little Prince,Antoine de Saint-Exupéry,1422617,41265,4.31,93.0,1943.0,0,"['Classics', 'Fiction', 'Fantasy']",['Retro Hugo Award for Best Novella (2019)'],https://www.goodreads.com/book/show/157993.The_Little_Prince,7.886,2.512
8,Fahrenheit 451,Ray Bradbury,1732649,49376,3.99,194.0,1953.0,0,"['Classics', 'Fiction', 'Science Fiction']","['Prometheus Hall of Fame Award (1984)', 'Geffen Award for Best Translated SF Book (2002)', 'California Book Award for Fiction (Silver) (1953)', 'Retro Hugo Award for Best Novel (2004)']",https://www.goodreads.com/book/show/13079982-fahrenheit-451,5.953,0.579
9,The Catcher in the Rye,J.D. Salinger,2799212,58697,3.81,277.0,1951.0,0,"['Classics', 'Fiction', 'Young Adult']","['Teen Read Award Nominee for Best All-Time-Fave (2010)', 'National Book Award Finalist for Fiction (1952)']",https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye,4.866,-0.508
