,1st Pub,Author,Awards,Genres,Link,N pag,Rating Count,Rating Value,Review Count,Title,series
0,1960,Harper Lee,"['Pulitzer Prize for Fiction (1961)', 'Audie Award for Classic (2007)', 'National Book Award Finalist for Fiction (1961)', 'Alabama Author Award for Fiction (1961)']","['Classics', 'Fiction', 'Historical']",https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird,324,4629082,4.28,92962,To Kill a Mockingbird,1
1,1949,George Orwell,"['Prometheus Hall of Fame Award (1984)', 'Locus Award Nominee for All-Time Best Science Fiction Novel (1987)']","['Classics', 'Fiction', 'Science Fiction']",https://www.goodreads.com/book/show/40961427-1984,237,3250211,4.19,72375,1984,0
2,1925,F. Scott Fitzgerald,['Grammy Award Nominee for Best Spoken Word Album (2003)'],"['Classics', 'Fiction', 'Academic']",https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone,200,3877685,3.93,68965,The Great Gatsby,0
3,1997,J.K. Rowling,"[""Mythopoeic Fantasy Award for Children's Literature (2008)"", ""British Book Award for Children's Book of the Year (1998)"", 'Prijs van de Nederlandse Kinderjury for 6-9 jaar en 10-12 jaar (2002)', 'American Booksellers Book Of The Year  Award for Children (1999)', 'Audie Award (2000)', ""West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (2000)"", 'South Carolina Book Award for Junior Book Award (2001)', 'Grand Canyon Reader Award for Teen Book (2000)', 'Charlotte Award (2000)', 'Nene Award (2000)', ""Massachusetts Children's Book Award (2000)"", 'Colorado Blue Spruce Young Adult Book Award (2001)', 'Blue Hen Book Award for Chapter Book (2001)', ""Nevada Young Readers' Award for Young Reader Category (2000)"", 'Golden Archer Award for Middle/Junior High (2000)', 'Indian Paintbrush Book Award (2000)', 'Hotze de Roosprijs (2002)', 'Nestlé Smarties Book Prize for 9–11 years (1997)', 'Eliot Rosewater Indiana High School Book Award (2001)', 'Kinderboekwinkelprijs (1999)', 'Parenting Book of the Year Award (1998)', 'North East Teenage Book Award (1999)', ""Specsavers National Book Award for Children's Book of the Year (1998)"", 'Washington State Sasquatch Award (2000)', 'Literaturpreis der Jury der jungen Leser for Kinderbuch (1999)', 'Carnegie Medal Nominee (1997)', ""Rebecca Caudill Young Readers' Book Award (2001)"", 'Premi Protagonista Jove for Categoria 12-13 anys (2000)']","['Fantasy', 'Fiction', 'Young Adult']",https://www.goodreads.com/book/show/4671.The_Great_Gatsby,309,7281482,4.48,115354,Harry Potter and the Sorcerer's Stone,1
4,1937,J.R.R. Tolkien,"['Keith Barker Millennium Book Award', 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (1997)', 'Mythopoeic Scholarship Award for Inklings Studies (1990)']","['Fantasy', 'Classics', 'Fiction']",https://www.goodreads.com/book/show/170448.Animal_Farm,366,2973224,4.28,49547,"The Hobbit, or There and Back Again",1
5,1945,George Orwell,"['Prometheus Hall of Fame Award (2011)', 'Retro Hugo Award for Best Novella (1996)']","['Classics', 'Fiction', 'Science Fiction']",https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again,141,2823982,3.95,57987,Animal Farm,0
6,1947,Anne Frank,['Luisterboek Award Nominee (2008)'],"['Nonfiction', 'Classics', 'History']",https://www.goodreads.com/book/show/48855.The_Diary_of_a_Young_Girl,283,2831501,4.16,29790,The Diary of a Young Girl,0
7,1943,Antoine de Saint-Exupéry,['Retro Hugo Award for Best Novella (2019)'],"['Classics', 'Fiction', 'Fantasy']",https://www.goodreads.com/book/show/157993.The_Little_Prince,93,1422617,4.31,41265,The Little Prince,0
8,1953,Ray Bradbury,"['Prometheus Hall of Fame Award (1984)', 'Geffen Award for Best Translated SF Book (2002)', 'California Book Award for Fiction (Silver) (1953)', 'Retro Hugo Award for Best Novel (2004)']","['Classics', 'Fiction', 'Science Fiction']",https://www.goodreads.com/book/show/13079982-fahrenheit-451,194,1732649,3.99,49376,Fahrenheit 451,0
9,1951,J.D. Salinger,"['Teen Read Award Nominee for Best All-Time-Fave (2010)', 'National Book Award Finalist for Fiction (1952)']","['Classics', 'Fiction', 'Young Adult']",https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye,277,2799212,3.81,58697,The Catcher in the Rye,0
